,Unnamed: 0,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft_per_g,NBA_fta_p_g,NBA__3ptpg,NBA__3ptapg,NBA__3ptpct,NBA_efgpct,NCAA_fgpct,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA__3ptpg,NCAA__3ptapg,NCAA__3ptpct
4640,4640,/players/w/weathcl01.html,Clarence Weatherspoon,1993,2005,F,Southern Miss,6-6,240.0,"September 8, 1970",0.471,915.0,11.5,0.743,4.4,9.3,2.6,3.6,0.0,0.1,0.196,0.472,0.576,117.0,18.2,0.677,6.8,11.8,4.3,6.3,0.3,0.6,0.444
4641,4641,/players/w/weathni01.html,Nick Weatherspoon,1974,1980,F,Illinois,6-7,195.0,"July 20, 1950",0.455,453.0,9.0,0.713,3.8,8.3,1.5,2.1,0.0,0.0,,0.455,0.443,71.0,20.9,0.725,8.4,19.0,4.0,5.5,,,
4642,4642,/players/w/weathqu01.html,Quinndary Weatherspoon,2020,2021,G,Mississippi State,6-3,205.0,"September 10, 1996",0.404,31.0,1.9,0.778,0.7,1.7,0.5,0.6,0.1,0.4,0.182,0.423,0.48,131.0,15.4,0.788,5.4,11.2,3.2,4.0,1.4,3.9,0.368
4643,4643,/players/w/weaveky01.html,Kyle Weaver,2009,2011,G,Washington State,6-6,201.0,"February 18, 1986",0.441,73.0,5.0,0.736,1.8,4.2,0.7,1.0,0.6,1.6,0.353,0.51,0.464,121.0,9.6,0.716,3.3,7.2,2.6,3.6,0.4,1.3,0.277
4644,4644,/players/w/webbja01.html,James Webb,2018,2018,F,Boise State,6-9,202.0,"August 19, 1993",0.25,10.0,1.6,,0.6,2.4,0.0,0.0,0.4,1.9,0.211,0.333,0.518,63.0,13.5,0.676,5.0,9.6,2.3,3.4,1.2,3.6,0.33
4645,4645,/players/w/webbje01.html,Jeff Webb,1971,1972,G,Kansas State,6-4,170.0,"July 6, 1948",0.376,75.0,2.1,0.711,0.9,2.4,0.4,0.5,,,,,,,,,,,,,,,
4646,4646,/players/w/webbma01.html,Marcus Webb,1993,1993,F-C,Alabama,6-9,255.0,"May 9, 1970",0.52,9.0,4.3,0.619,1.4,2.8,1.4,2.3,0.0,0.1,0.0,0.52,0.542,84.0,3.9,0.59,1.6,3.0,0.7,1.2,0.0,0.0,
4647,4647,/players/w/webbsp01.html,Spud Webb,1986,1998,G,"Midland College, NC State",5-6,133.0,"July 13, 1963",0.452,814.0,9.9,0.848,3.6,7.9,2.4,2.8,0.4,1.3,0.314,0.477,0.47,66.0,10.4,0.761,4.1,8.6,2.3,3.0,,,
4648,4648,/players/w/webbech01.html,Chris Webber,1994,2008,F-C,Michigan,6-9,245.0,"March 1, 1973",0.479,831.0,20.7,0.649,8.7,18.1,3.0,4.7,0.3,1.1,0.299,0.487,0.589,70.0,17.4,0.53,7.3,12.4,2.2,4.2,0.6,1.9,0.306
4649,4649,/players/w/weberbr01.html,Briante Weber,2016,2018,G,VCU,6-2,165.0,"December 29, 1992",0.408,45.0,3.2,0.733,1.3,3.2,0.5,0.7,0.1,0.6,0.192,0.426,0.426,127.0,6.8,0.769,2.3,5.5,1.8,2.4,0.3,1.1,0.274
4650,4650,/players/w/weberja01.html,Jake Weber,1947,1947,C,Purdue,6-6,225.0,"March 18, 1918",0.292,50.0,3.5,0.696,1.2,4.0,1.1,1.6,,,,,,,,,,,,,,,
4651,4651,/players/w/webstel01.html,Elnardo Webster,1972,1972,F,Saint Peter's College,6-5,190.0,"March 6, 1948",0.459,24.0,5.1,0.724,2.1,4.5,0.9,1.2,0.0,0.2,0.25,0.463,,,,,,,,,,,
4652,4652,/players/w/webstje01.html,Jeff Webster,1996,1996,F,Oklahoma,6-8,232.0,"February 19, 1971",0.348,11.0,1.6,,0.7,2.1,0.0,0.0,0.2,0.5,0.333,0.391,0.523,128.0,17.8,0.778,7.2,13.7,3.4,4.4,0.0,0.2,0.25
4654,4654,/players/w/webstma01.html,Marvin Webster,1976,1987,C,Morgan State University,7-1,225.0,"April 13, 1952",0.488,617.0,7.0,0.621,2.6,5.4,1.7,2.7,0.0,0.0,0.286,0.488,0.524,114.0,17.5,0.658,6.9,13.1,3.7,5.6,,,
4655,4655,/players/w/wedmasc01.html,Scott Wedman,1975,1987,F-G,Colorado,6-7,215.0,"July 29, 1952",0.481,906.0,13.2,0.794,5.7,11.8,1.7,2.1,0.2,0.5,0.335,0.485,0.493,75.0,16.7,0.704,6.9,13.9,2.9,4.1,,,
4656,4656,/players/w/weemsso01.html,Sonny Weems,2009,2016,G-F,Arkansas,6-6,205.0,"July 8, 1986",0.465,183.0,6.5,0.702,2.8,6.0,0.7,1.0,0.2,0.7,0.283,0.48,0.473,69.0,13.3,0.767,5.2,11.0,1.6,2.1,1.3,3.7,0.366
4657,4657,/players/w/wehrdi01.html,Dick Wehr,1949,1949,F,Rice University,6-4,180.0,"December 9, 1925",0.238,9.0,1.3,0.333,0.6,2.3,0.2,0.7,,,,,,,,,,,,,,,
4658,4658,/players/w/weidnbr01.html,Brant Weidner,1984,1984,F,William & Mary,6-9,230.0,"October 28, 1960",0.222,8.0,1.0,1.0,0.3,1.1,0.5,0.5,0.0,0.0,,0.222,0.482,111.0,7.0,0.722,2.8,5.8,1.4,1.9,,,
4659,4659,/players/w/weissbo01.html,Bob Weiss,1966,1977,G,Penn State,6-2,180.0,"May 7, 1942",0.428,783.0,7.6,0.828,2.9,6.8,1.8,2.2,,,,,0.427,67.0,16.3,0.762,6.4,15.0,3.4,4.5,,,
4660,4660,/players/w/weitzri01.html,Rick Weitzman,1968,1968,G,Northeastern University,6-2,175.0,"April 30, 1946",0.261,25.0,1.3,0.692,0.5,1.8,0.4,0.5,,,,,,,,,,,,,,,
4661,4661,/players/w/wellsbo01.html,Bonzi Wells,1999,2008,G-F,Ball State University,6-5,210.0,"September 28, 1976",0.46,591.0,12.1,0.697,4.8,10.3,2.2,3.1,0.4,1.2,0.327,0.479,0.48,116.0,21.4,0.681,7.9,16.4,4.5,6.5,1.2,3.8,0.325
4662,4662,/players/w/wellsbu01.html,Bubba Wells,1998,1998,F,Austin Peay State University,6-5,230.0,"July 26, 1974",0.414,39.0,3.3,0.721,1.2,3.0,0.8,1.1,0.0,0.2,0.167,0.418,0.522,105.0,21.6,0.747,8.3,15.9,4.1,5.5,0.9,2.2,0.405
4663,4663,/players/w/wellsow01.html,Owen Wells,1975,1975,F,Detroit Mercy,6-7,200.0,"December 9, 1950",0.42,33.0,3.0,0.682,1.3,3.0,0.5,0.7,,,,,0.467,72.0,13.5,0.743,5.5,11.7,2.6,3.5,,,
4664,4664,/players/w/wellsra01.html,Ralph Wells,1963,1963,G,Northwestern,6-1,180.0,"September 3, 1940",0.143,3.0,0.7,0.0,0.3,2.3,0.0,2.3,,,,,,,,,,,,,,,
4665,4665,/players/w/welpch01.html,Chris Welp,1988,1990,C,Washington,7-0,245.0,"January 2, 1964",0.446,109.0,3.3,0.681,1.3,2.9,0.7,1.1,0.0,0.0,0.0,0.446,0.569,129.0,16.1,0.722,6.4,11.2,3.4,4.7,,,
4667,4667,/players/w/welshth01.html,Thomas Welsh,2019,2019,C,UCLA,7-0,255.0,"February 3, 1996",0.538,11.0,1.6,0.5,0.6,1.2,0.1,0.2,0.3,0.6,0.429,0.654,0.537,132.0,9.5,0.798,4.0,7.5,1.0,1.3,0.3,0.9,0.407
4668,4668,/players/w/wennibi01.html,Bill Wennington,1986,2000,C,St. John's,7-0,245.0,"April 26, 1963",0.459,720.0,4.6,0.787,1.9,4.2,0.7,1.0,0.0,0.1,0.139,0.46,0.579,124.0,8.2,0.738,3.2,5.5,1.8,2.5,,,
4669,4669,/players/w/wenstma01.html,Matt Wenstrom,1994,1994,C,UNC,7-1,250.0,"November 4, 1970",0.6,11.0,1.6,0.6,0.5,0.9,0.5,0.9,0.0,0.0,,0.6,0.531,119.0,1.6,0.585,0.7,1.2,0.3,0.5,0.0,0.0,0.0
4670,4670,/players/w/werdaro01.html,Robert Werdann,1993,1997,C,St. John's,6-11,250.0,"September 12, 1970",0.378,47.0,2.1,0.574,0.8,2.1,0.6,1.0,0.0,0.0,0.0,0.378,0.494,107.0,9.7,0.689,3.6,7.3,2.4,3.6,0.0,0.0,0.333
4671,4671,/players/w/wertira01.html,Ray Wertis,1947,1948,G,St. John's,5-11,,"July 30, 1923",0.21,68.0,3.6,0.59,1.4,6.4,0.9,1.5,,,,,,,,,,,,,,,
4672,4672,/players/w/wesleda01.html,David Wesley,1994,2007,G,Baylor,6-0,190.0,"November 14, 1970",0.424,949.0,12.5,0.786,4.5,10.6,2.3,3.0,1.2,3.2,0.368,0.48,0.441,70.0,17.5,0.828,5.3,11.9,5.2,6.3,1.8,4.7,0.377
4673,4673,/players/w/weslewa01.html,Walt Wesley,1967,1976,C,Kansas,6-11,220.0,"January 25, 1945",0.434,590.0,8.5,0.63,3.4,7.8,1.7,2.7,,,,,,,,,,,,,,,
4674,4674,/players/w/westda01.html,David West,2004,2018,F-C,Xavier,6-9,250.0,"August 29, 1980",0.495,1034.0,13.6,0.817,5.5,11.1,2.5,3.0,0.1,0.2,0.265,0.498,0.531,126.0,16.9,0.757,5.8,10.8,5.3,6.9,0.1,0.4,0.327
4675,4675,/players/w/westde01.html,Delonte West,2005,2012,G,Saint Joseph's,6-4,180.0,"July 26, 1983",0.448,432.0,9.7,0.826,3.7,8.3,1.4,1.7,0.9,2.3,0.372,0.501,0.489,89.0,13.9,0.831,5.1,10.3,2.5,3.0,1.3,3.4,0.377
4676,4676,/players/w/westdo01.html,Doug West,1990,2001,G-F,Villanova,6-6,200.0,"May 27, 1967",0.481,676.0,9.6,0.801,3.9,8.1,1.7,2.2,0.1,0.3,0.191,0.484,0.486,138.0,14.8,0.716,5.6,11.6,2.4,3.4,,,0.394
4677,4677,/players/w/westje01.html,Jerry West,1961,1974,G,West Virginia,6-3,175.0,"May 28, 1938",0.474,932.0,27.0,0.814,9.7,20.4,7.7,9.4,,,,,0.508,93.0,24.8,0.732,9.1,17.8,6.7,9.2,,,
4678,4678,/players/w/westma02.html,Mario West,2008,2011,G,Georgia Tech,6-5,210.0,"June 19, 1984",0.448,162.0,1.0,0.563,0.3,0.8,0.2,0.4,0.0,0.1,0.2,0.456,0.47,103.0,3.2,0.678,1.1,2.4,0.8,1.2,0.1,0.5,0.288
4679,4679,/players/w/westma01.html,Mark West,1984,2000,C-F,Old Dominion,6-10,230.0,"November 5, 1960",0.58,1090.0,5.7,0.568,2.3,4.0,1.1,1.9,0.0,0.0,0.0,0.58,0.559,117.0,11.4,0.514,4.8,8.6,1.8,3.6,,,
4680,4680,/players/w/westro01.html,Roland West,1968,1968,G,Cincinnati,6-4,178.0,"June 6, 1944",0.4,4.0,1.0,,0.5,1.3,0.0,0.0,,,,,,,,,,,,,,,
4681,4681,/players/w/westbde01.html,Dexter Westbrook,1968,1968,F,Providence,6-8,190.0,,0.487,12.0,4.0,0.714,1.6,3.3,0.8,1.2,0.0,0.0,,0.487,,,,,,,,,,,
4682,4682,/players/w/westbru01.html,Russell Westbrook,2009,2022,G,UCLA,6-3,200.0,"November 12, 1988",0.437,951.0,23.1,0.789,8.2,18.8,5.5,7.0,1.1,3.7,0.305,0.467,0.464,75.0,8.3,0.685,3.1,6.6,1.7,2.4,0.5,1.3,0.354
4683,4683,/players/w/westppa01.html,Paul Westphal,1973,1984,G,USC,6-4,195.0,"November 30, 1950",0.504,823.0,15.6,0.82,6.2,12.3,3.2,3.8,0.2,0.7,0.275,0.506,0.498,66.0,16.4,0.746,6.2,12.5,4.0,5.4,,,
4684,4684,/players/w/wetzejo01.html,John Wetzel,1968,1976,G-F,Virginia Tech,6-5,190.0,"October 22, 1944",0.429,357.0,3.4,0.81,1.3,3.0,0.8,1.0,,,,,,,,,,,,,,,
4685,4685,/players/w/whalero01.html,Robert Whaley,2006,2006,C,"Barton County Community College, Cincinnati, Walsh University",6-10,260.0,"April 16, 1982",0.404,23.0,2.1,0.5,1.0,2.5,0.1,0.3,0.0,0.0,,0.404,0.348,22.0,5.8,0.66,2.2,6.3,1.4,2.1,0.0,0.0,0.0
4686,4686,/players/w/whatlen01.html,Ennis Whatley,1984,1997,G,Alabama,6-3,177.0,"August 11, 1962",0.468,385.0,5.6,0.755,2.2,4.7,1.2,1.6,0.0,0.1,0.097,0.469,0.498,63.0,13.7,0.748,5.1,10.3,3.4,4.5,,,
4687,4687,/players/w/wheatde01.html,DeJuan Wheat,1998,1999,G,Louisville,6-0,165.0,"October 14, 1973",0.383,80.0,3.3,0.7,1.2,3.0,0.6,0.9,0.4,1.0,0.39,0.444,0.452,136.0,16.1,0.755,5.3,11.8,3.0,4.0,2.4,6.3,0.377
4688,4688,/players/w/wheelcl01.html,Clinton Wheeler,1988,1989,G,William Paterson University,6-1,185.0,"October 27, 1959",0.489,87.0,2.9,0.741,1.2,2.5,0.5,0.6,0.0,0.0,0.0,0.489,,,,,,,,,,,
4689,4689,/players/w/wheelty01.html,Tyson Wheeler,1999,1999,G,Rhode Island,5-10,165.0,"October 8, 1975",1.0,1.0,4.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.5,0.412,125.0,15.3,0.705,5.1,12.4,2.8,3.9,2.4,6.5,0.371
4690,4690,/players/w/whitask01.html,Skippy Whitaker,1955,1955,G,Kentucky,6-1,180.0,"August 29, 1930",0.167,3.0,0.7,,0.3,2.0,0.0,0.0,,,,,,,,,,,,,,,
4691,4691,/players/w/whitean01.html,Andrew White,2018,2018,G,"Nebraska, Syracuse",6-7,210.0,"June 16, 1993",0.342,15.0,4.6,0.25,1.7,4.9,0.1,0.3,1.2,3.3,0.367,0.466,0.452,111.0,11.6,0.786,3.8,8.5,2.0,2.5,2.0,5.0,0.395
4692,4692,/players/w/whiteco01.html,Coby White,2020,2021,G,UNC,6-5,195.0,"February 16, 2000",0.406,134.0,14.2,0.849,5.1,12.6,1.7,2.0,2.2,6.2,0.357,0.493,0.423,35.0,16.1,0.8,5.4,12.7,3.0,3.7,2.3,6.6,0.353
4693,4693,/players/w/whitedj01.html,D.J. White,2009,2014,F,Indiana,6-9,251.0,"August 31, 1986",0.507,138.0,5.9,0.72,2.5,5.0,0.8,1.1,0.0,0.0,0.333,0.507,0.562,99.0,14.6,0.69,5.5,9.8,3.5,5.1,0.0,0.0,0.333
4694,4694,/players/w/whitede01.html,Derrick White,2018,2022,G,"Colorado-Colorado Springs, Colorado",6-4,190.0,"July 2, 1994",0.452,196.0,10.9,0.821,3.9,8.5,2.1,2.5,1.2,3.3,0.356,0.522,0.507,34.0,18.1,0.813,6.0,11.9,4.4,5.4,1.7,4.2,0.396
4695,4695,/players/w/whiteer01.html,Eric White,1988,1989,F,Pepperdine,6-8,200.0,"December 30, 1965",0.525,55.0,6.1,0.798,2.3,4.4,1.4,1.8,0.0,0.0,1.0,0.527,0.525,117.0,14.3,0.717,6.0,11.4,2.4,3.3,,,0.0
4696,4696,/players/w/whitehe01.html,Herb White,1971,1971,G,Georgia,6-2,195.0,"June 15, 1948",0.405,38.0,2.4,0.564,0.9,2.2,0.6,1.0,,,,,,,,,,,,,,,
4697,4697,/players/w/whitehu01.html,Hubie White,1963,1971,G-F,Villanova,6-4,205.0,"January 26, 1940",0.366,120.0,4.8,0.706,2.0,5.3,0.8,1.2,0.1,0.7,0.18,0.373,,,,,,,,,,,
4698,4698,/players/w/whiteja01.html,Jahidi White,1999,2005,F-C,Georgetown,6-9,290.0,"February 19, 1976",0.51,334.0,5.9,0.534,2.2,4.3,1.4,2.7,0.0,0.0,0.0,0.51,0.539,105.0,5.6,0.462,2.2,4.1,1.2,2.6,0.0,0.0,
4699,4699,/players/w/whiteja02.html,James White,2007,2013,G-F,"Florida, Cincinnati",6-7,200.0,"October 21, 1982",0.438,67.0,2.7,0.676,1.1,2.4,0.3,0.5,0.3,0.7,0.34,0.491,0.444,123.0,10.3,0.784,3.5,7.8,2.4,3.0,1.0,2.9,0.336
4700,4700,/players/w/whitejo01.html,Jo Jo White,1970,1981,G,Kansas,6-3,190.0,"November 16, 1946",0.444,837.0,17.2,0.834,7.4,16.6,2.5,3.0,0.0,0.1,0.167,0.444,0.42,84.0,15.3,0.733,6.4,15.2,2.5,3.5,,,
4701,4701,/players/w/whiteok01.html,Okaro White,2017,2019,F,Florida State,6-8,205.0,"August 13, 1992",0.381,44.0,2.7,0.88,0.9,2.4,0.5,0.6,0.4,1.1,0.34,0.457,0.494,139.0,10.1,0.799,3.4,6.8,2.9,3.6,0.5,1.5,0.327
4702,4702,/players/w/whitera01.html,Randy White,1990,1994,F,Louisiana Tech,6-8,240.0,"November 4, 1967",0.401,281.0,7.4,0.707,2.8,6.9,1.7,2.5,0.1,0.5,0.193,0.408,0.592,127.0,15.3,0.689,5.8,9.7,3.6,5.3,,,0.426
4703,4703,/players/w/whitero02.html,Rodney White,2002,2005,F,UNC Charlotte,6-9,238.0,"June 28, 1980",0.424,218.0,7.1,0.749,2.8,6.7,1.0,1.3,0.4,1.3,0.314,0.455,0.487,28.0,18.7,0.713,6.7,13.8,4.1,5.7,1.2,3.4,0.347
4704,4704,/players/w/whitero01.html,Rory White,1983,1987,F,University of South Alabama,6-8,210.0,"August 16, 1959",0.506,324.0,7.4,0.681,3.0,5.9,1.4,2.0,0.0,0.0,0.077,0.506,0.564,116.0,14.9,0.686,6.3,11.2,2.3,3.3,,,
4705,4705,/players/w/whitero03.html,Royce White,2014,2014,F,Iowa State,6-8,270.0,"April 10, 1991",0.0,3.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.534,34.0,13.4,0.498,5.1,9.6,3.0,6.0,0.1,0.4,0.333
4706,4706,/players/w/whiteru01.html,Rudy White,1976,1981,G,Arizona State,6-2,195.0,"June 23, 1953",0.408,124.0,3.1,0.742,1.3,3.1,0.6,0.8,0.0,0.0,0.0,0.408,0.526,57.0,10.7,0.708,4.5,8.6,1.6,2.3,,,
4707,4707,/players/w/whiteto01.html,Tony White,1988,1988,G,Tennessee,6-2,170.0,"February 15, 1965",0.446,49.0,5.3,0.722,2.3,5.1,0.8,1.1,0.0,0.1,0.0,0.446,0.496,127.0,17.5,0.84,6.7,13.4,3.9,4.7,,,0.412
4708,4708,/players/w/whitewi01.html,Willie White,1985,1986,G,Chattanooga,6-3,195.0,"August 20, 1962",0.432,82.0,3.7,0.741,1.5,3.6,0.5,0.7,0.1,0.4,0.313,0.449,0.509,122.0,16.2,0.831,6.5,12.8,2.6,3.2,,,0.5
4709,4709,/players/w/whiteis01.html,Isaiah Whitehead,2017,2018,G,Seton Hall,6-4,213.0,"March 8, 1995",0.411,89.0,7.2,0.788,2.7,6.7,1.2,1.5,0.6,1.9,0.305,0.454,0.375,56.0,15.8,0.757,5.1,13.6,3.5,4.6,2.1,5.8,0.359
4710,4710,/players/w/whiteje01.html,Jerome Whitehead,1979,1989,C-F,Marquette,6-10,220.0,"September 30, 1956",0.497,679.0,6.5,0.718,2.7,5.4,1.2,1.6,0.0,0.0,0.0,0.497,0.548,89.0,11.1,0.628,4.8,8.7,1.5,2.4,,,
4711,4711,/players/w/whitedo01.html,Donald Whiteside,1997,1998,G,Northern Illinois,5-10,160.0,"April 25, 1969",0.333,30.0,2.0,0.647,0.6,1.9,0.4,0.6,0.4,1.2,0.324,0.439,0.428,100.0,11.6,0.789,3.7,8.6,2.2,2.8,2.0,4.8,0.426
4712,4712,/players/w/whiteha01.html,Hassan Whiteside,2011,2022,C,Marshall,7-0,265.0,"June 13, 1989",0.581,453.0,13.2,0.606,5.5,9.5,2.2,3.6,0.0,0.1,0.308,0.582,0.524,34.0,13.1,0.588,4.9,9.4,3.2,5.5,0.1,0.1,0.6
4713,4713,/players/w/whitfdw01.html,Dwayne Whitfield,1996,1996,F,Jackson State University,6-9,240.0,"August 21, 1972",0.433,8.0,5.0,0.636,1.6,3.8,1.8,2.8,0.0,0.0,,0.433,0.584,67.0,14.1,0.651,5.4,9.2,3.3,5.1,0.0,0.1,0.0
4714,4714,/players/w/whitnch01.html,Chris Whitney,1994,2004,G,Clemson,6-0,168.0,"October 5, 1971",0.395,579.0,6.5,0.875,2.1,5.4,1.3,1.4,1.0,2.6,0.361,0.483,0.427,58.0,14.6,0.788,4.6,10.8,2.4,3.1,2.9,7.0,0.413
4715,4715,/players/w/whitnha01.html,Hank Whitney,1968,1970,F-C,Iowa State,6-7,230.0,"April 28, 1939",0.403,145.0,9.2,0.692,3.6,8.9,2.1,3.0,0.0,0.0,0.0,0.403,,,,,,,,,,,
4716,4716,/players/w/whitnha02.html,Hawkeye Whitney,1981,1982,G-F,NC State,6-5,235.0,"June 22, 1957",0.462,70.0,5.8,0.75,2.5,5.4,0.8,1.0,0.0,0.1,0.286,0.464,0.507,117.0,16.8,0.671,7.1,13.9,2.7,4.0,,,
4717,4717,/players/w/whittgr01.html,Greg Whittington,2021,2021,F,Georgetown,6-8,210.0,"February 7, 1993",0.0,4.0,0.0,,0.0,0.8,0.0,0.0,0.0,0.5,0.0,0.0,0.424,46.0,6.5,0.62,2.4,5.6,1.0,1.5,0.8,2.4,0.333
4718,4718,/players/w/whittsh01.html,Shayne Whittington,2015,2016,F-C,Western Michigan,6-11,250.0,"March 27, 1991",0.453,27.0,2.5,0.76,0.9,2.0,0.7,0.9,0.0,0.3,0.125,0.462,0.515,114.0,9.8,0.76,3.6,7.1,2.4,3.2,0.1,0.4,0.167
4719,4719,/players/w/wickssi01.html,Sidney Wicks,1972,1981,F-C,UCLA,6-8,225.0,"September 19, 1949",0.459,760.0,16.8,0.685,6.6,14.5,3.6,5.2,0.0,0.0,0.0,0.459,0.511,90.0,15.8,0.635,6.1,11.9,3.6,5.7,,,
4720,4720,/players/w/widbyro01.html,Ron Widby,1968,1968,F,Tennessee,6-4,210.0,"March 9, 1945",0.386,20.0,2.9,0.571,1.4,3.5,0.2,0.4,0.0,0.2,0.0,0.386,0.451,79.0,18.1,0.803,7.7,17.2,2.6,3.3,,,
4721,4721,/players/w/wiermu01.html,Murray Wier,1950,1950,G,Iowa,5-9,155.0,"December 12, 1926",0.327,56.0,7.7,0.693,2.8,8.6,2.1,3.0,,,,,,,,,,,,,,,
4722,4722,/players/w/wiesebo01.html,Bob Wiesenhahn,1962,1962,F,Cincinnati,6-4,215.0,"December 22, 1938",0.317,60.0,2.0,0.567,0.9,2.7,0.3,0.5,,,,,,,,,,,,,,,
4723,4723,/players/w/wiggian01.html,Andrew Wiggins,2015,2022,F-G,Kansas,6-7,197.0,"February 23, 1995",0.446,532.0,19.5,0.731,7.2,16.2,3.7,5.1,1.3,3.8,0.342,0.486,0.448,35.0,17.1,0.775,5.4,12.1,5.0,6.5,1.2,3.6,0.341
4724,4724,/players/w/wiggimi01.html,Mitchell Wiggins,1984,1992,G,"Clemson, Florida State",6-4,185.0,"September 28, 1959",0.46,389.0,10.0,0.755,4.1,8.9,1.7,2.3,0.0,0.2,0.192,0.462,0.536,78.0,15.9,0.728,6.6,12.3,2.7,3.8,,,
4725,4725,/players/w/wilbuke01.html,Ken Wilburn,1968,1969,F,Central State University,6-6,195.0,"June 8, 1944",0.391,54.0,3.9,0.506,1.6,4.0,0.7,1.5,0.0,0.0,,0.391,,,,,,,,,,,
4726,4726,/players/w/wilcocj01.html,C.J. Wilcox,2015,2017,G,Washington,6-5,195.0,"December 30, 1990",0.37,66.0,2.0,0.813,0.8,2.0,0.2,0.2,0.3,0.9,0.333,0.441,0.433,131.0,14.4,0.84,4.9,11.3,2.3,2.7,2.3,5.9,0.389
4727,4727,/players/w/wilcoch01.html,Chris Wilcox,2003,2013,F,Maryland,6-10,221.0,"September 3, 1982",0.541,628.0,8.2,0.643,3.3,6.2,1.5,2.3,0.0,0.0,0.0,0.541,0.52,70.0,7.9,0.589,3.2,6.2,1.5,2.6,0.0,0.0,0.0
4728,4728,/players/w/wilcudc01.html,D.C. Wilcutt,1949,1950,G,Saint Louis,6-2,165.0,"March 25, 1923",0.339,59.0,2.2,0.733,0.7,2.1,0.7,1.0,,,,,,,,,,,,,,,
4729,4729,/players/w/wileyge01.html,Gene Wiley,1963,1968,C,Wichita State,6-10,210.0,"November 12, 1937",0.469,309.0,4.2,0.506,1.8,3.9,0.6,1.1,0.0,0.0,,0.469,,,,,,,,,,,
4730,4730,/players/w/wileyja01.html,Jacob Wiley,2018,2018,F,Eastern Washington,6-7,215.0,"September 4, 1994",0.25,5.0,0.8,0.5,0.2,0.8,0.2,0.4,0.2,0.4,0.5,0.375,0.638,54.0,13.2,0.827,5.1,7.9,3.0,3.6,0.1,0.1,0.625
4731,4731,/players/w/wileymi01.html,Michael Wiley,1981,1982,F,Cal State Long Beach,6-9,200.0,"October 16, 1957",0.561,94.0,7.4,0.709,3.0,5.3,1.4,2.0,0.0,0.1,0.0,0.561,0.57,120.0,16.4,0.712,6.8,11.9,2.8,3.9,,,
4732,4732,/players/w/wileymo01.html,Morlon Wiley,1989,1995,G,Cal State Long Beach,6-4,185.0,"September 24, 1966",0.412,295.0,3.7,0.707,1.4,3.5,0.4,0.5,0.4,1.2,0.354,0.475,0.448,113.0,12.7,0.78,4.8,10.6,2.0,2.6,1.1,2.9,0.39
4733,4733,/players/w/wilfowi01.html,Win Wilfong,1958,1961,G-F,Memphis,6-2,185.0,"March 18, 1933",0.361,268.0,6.8,0.744,2.6,7.1,1.7,2.3,,,,,,,,,,,,,,,
4734,4734,/players/w/wilkele01.html,Lenny Wilkens,1961,1975,G,Providence,6-1,180.0,"October 28, 1937",0.432,1077.0,16.5,0.774,5.7,13.3,5.0,6.5,,,,,0.432,80.0,14.9,0.655,5.8,13.4,3.4,5.2,,,
4735,4735,/players/w/wilkebo01.html,Bob Wilkerson,1977,1983,G-F,Indiana,6-6,195.0,"August 15, 1954",0.425,536.0,10.1,0.751,4.2,9.9,1.7,2.2,0.0,0.2,0.167,0.426,0.458,92.0,6.3,0.612,2.8,6.0,0.8,1.3,,,
4736,4736,/players/w/wilkeja01.html,Jamaal Wilkes,1975,1986,F-G,UCLA,6-6,190.0,"May 2, 1953",0.499,828.0,17.7,0.759,7.5,15.1,2.6,3.5,0.0,0.1,0.135,0.5,0.514,90.0,15.0,0.75,6.4,12.5,2.1,2.8,,,
4737,4737,/players/w/wilkeja02.html,James Wilkes,1981,1983,F,UCLA,6-7,195.0,"April 1, 1958",0.463,114.0,4.8,0.723,2.0,4.2,0.9,1.2,0.0,0.0,0.0,0.463,0.497,110.0,6.3,0.681,2.5,5.0,1.3,1.9,,,
4738,4738,/players/w/wilkida02.html,Damien Wilkins,2005,2018,F-G,"NC State, Georgia",6-6,225.0,"January 11, 1980",0.426,582.0,6.2,0.783,2.3,5.4,1.2,1.6,0.4,1.1,0.327,0.458,0.408,117.0,10.9,0.725,3.6,8.8,3.1,4.2,0.7,2.3,0.305
4739,4739,/players/w/wilkido01.html,Dominique Wilkins,1983,1999,F-G,Georgia,6-8,215.0,"January 12, 1960",0.461,1074.0,24.8,0.811,9.3,20.1,5.6,6.9,0.7,2.1,0.319,0.478,0.53,78.0,21.6,0.699,9.3,17.5,3.1,4.4,,,
4740,4740,/players/w/wilkied01.html,Eddie Lee Wilkins,1985,1993,F-C,Gardner-Webb University,6-10,220.0,"May 7, 1962",0.47,322.0,4.8,0.564,1.9,3.9,1.1,1.9,0.0,0.0,0.0,0.47,,,,,,,,,,,
